sira	datesk	Item Name	Date	price
1	20120201	Brinjal (R)	2.01.2012	20
2	20120203	Brinjal (R)	3.01.2012	20
3	20120204	Brinjal (R)	4.01.2012	22
4	20120206	Brinjal (R)	5.01.2012	18
5	20120207	Brinjal (R)	6.01.2012	18
6	20120208	Brinjal (R)	7.01.2012	18
7	20120209	Brinjal (R)	8.01.2012	19
8	20120210	Brinjal (R)	9.01.2012	20
9	20120211	Brinjal (R)	10.01.2012	20
10	20120213	Brinjal (R)	11.01.2012	16
11	20120215	Brinjal (R)	12.01.2012	15
12	20120216	Brinjal (R)	13.01.2012	16
13	20120217	Brinjal (R)	14.01.2012	15
14	20120218	Brinjal (R)	15.01.2012	15
15	20120220	Brinjal (R)	16.01.2012	15
16	20120221	Brinjal (R)	17.01.2012	20
17	20120222	Brinjal (R)	18.01.2012	18
18	20120223	Brinjal (R)	19.01.2012	18
19	20120224	Brinjal (R)	20.01.2012	16
20	20120225	Brinjal (R)	21.01.2012	17
21	20120227	Brinjal (R)	22.01.2012	17
22	20120228	Brinjal (R)	23.01.2012	23
23	20120229	Brinjal (R)	24.01.2012	25
24	20120301	Brinjal (R)	25.01.2012	23
25	20120302	Brinjal (R)	26.01.2012	24
26	20120303	Brinjal (R)	27.01.2012	21
27	20120305	Brinjal (R)	28.01.2012	22
28	20120306	Brinjal (R)	29.01.2012	22
29	20120307	Brinjal (R)	30.01.2012	21
30	20120308	Brinjal (R)	31.01.2012	20
31	20120309	Brinjal (R)	1.02.2012	20
32	20120310	Brinjal (R)	2.02.2012	20
33	20120312	Brinjal (R)	3.02.2012	20
34	20120313	Brinjal (R)	4.02.2012	20
35	20120314	Brinjal (R)	5.02.2012	20
36	20120315	Brinjal (R)	6.02.2012	20
37	20120316	Brinjal (R)	7.02.2012	20
38	20120317	Brinjal (R)	8.02.2012	20
39	20120319	Brinjal (R)	9.02.2012	20
40	20120320	Brinjal (R)	10.02.2012	20
41	20120321	Brinjal (R)	11.02.2012	22
42	20120323	Brinjal (R)	12.02.2012	22
43	20120324	Brinjal (R)	13.02.2012	28
44	20120326	Brinjal (R)	14.02.2012	29
45	20120327	Brinjal (R)	15.02.2012	26
46	20120328	Brinjal (R)	16.02.2012	26
47	20120329	Brinjal (R)	17.02.2012	23
48	20120330	Brinjal (R)	18.02.2012	24
49	20120331	Brinjal (R)	19.02.2012	25
50	20120402	Brinjal (R)	20.02.2012	31
51	20120403	Brinjal (R)	21.02.2012	31
52	20120404	Brinjal (R)	22.02.2012	29
53	20120405	Brinjal (R)	23.02.2012	25
54	20120406	Brinjal (R)	24.02.2012	22
55	20120407	Brinjal (R)	25.02.2012	23
56	20120410	Brinjal (R)	26.02.2012	23
57	20120411	Brinjal (R)	27.02.2012	26
58	20120412	Brinjal (R)	28.02.2012	24
59	20120413	Brinjal (R)	29.02.2012	24
60	20120414	Brinjal (R)	1.03.2012	27
61	20120416	Brinjal (R)	2.03.2012	27
62	20120417	Brinjal (R)	3.03.2012	26
63	20120418	Brinjal (R)	4.03.2012	26
64	20120419	Brinjal (R)	5.03.2012	24
65	20120420	Brinjal (R)	6.03.2012	26
66	20120421	Brinjal (R)	7.03.2012	26
67	20120428	Brinjal (R)	8.03.2012	27
68	20120430	Brinjal (R)	9.03.2012	26
69	20120501	Brinjal (R)	10.03.2012	25
70	20120502	Brinjal (R)	11.03.2012	24
